MReportValue
"B08-A02-BES-01-01, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-01-02, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-01-03, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-01-04, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-01-05, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-01-06, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-01-07, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-01-01, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 54 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-01-02, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 54 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-01-03, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 54 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-01-04, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 54 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-01-05, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 54 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-01-06, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 54 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-01-07, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 54 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-02-08, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-02-09, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-02-10, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-02-11, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-02-12, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-02-13, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B08-A02-BES-02-14, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P43-BES-03-08, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P43-BES-03-09, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P43-BES-03-10, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P43-BES-03-11, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P43-BES-03-12, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P43-BES-03-13, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P43-BES-03-14, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-02-01, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-02-02, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-02-03, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-02-04, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-02-05, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
"B80-P44-BES-02-06, (plate.T4 + plate.T3) - (plate.T1 + plate.T2) is 0 but m-value is going the other way: m-value: 0  "
